Entity,Code,Year,Historical and more recent literacy estimates
Seychelles,SYC,2010,9.395.423
Singapore,SGP,2010,9.585.733
Small states,0,2010,85.654.785
South Africa,ZAF,2010,9.287.732
South Asia,0,2010,6.669.118
South Asia (IDA & IBRD),0,2010,6.669.118
South Asia (WB),0,2010,6.603.606
Southern and Eastern Africa (WB),0,2010,6.461.788
Spain,ESP,2010,977.489
Sri Lanka,LKA,2010,9.118.136
Sub-Saharan Africa,0,2010,60.880.547
Sub-Saharan Africa (IDA & IBRD),0,2010,60.880.547
Sub-Saharan Africa (WB),0,2010,5.921.304
Sub-Saharan Africa (excluding high income),0,2010,60.875.755
Suriname,SUR,2010,9.467.575
Tajikistan,TJK,2010,99.7
Tanzania,TZA,2010,678.007
Thailand,THA,2010,9.643.091
Tunisia,TUN,2010,7.913.058
Turkey,TUR,2010,926.606
Uganda,UGA,2010,7.321.188
Upper middle income,0,2010,9.426.899
Upper-middle-income countries,0,2010,941.354
Uruguay,URY,2010,9.807.271
Western and Central Africa (WB),0,2010,5.115.696
World,OWID_WRL,2010,84.16
Zambia,ZMB,2010,8.300.767
Afghanistan,AFG,2011,3.144.885
Albania,ALB,2011,968.453
Andorra,AND,2011,100
Arab World (WB),0,2011,722.775
Armenia,ARM,2011,9.974.441
Austria,AUT,2011,98
Azerbaijan,AZE,2011,9.977.863
Bahrain,BHR,2011,92.3
Bangladesh,BGD,2011,5.876.918
Bolivia,BOL,2011,9.222.615
Bosnia and Herzegovina,BIH,2011,9.814.204
Brazil,BRA,2011,9.141.124
Brunei,BRN,2011,9.608.556
Bulgaria,BGR,2011,9.835.245
Chile,CHL,2011,9.670.301
Colombia,COL,2011,9.358.053
Congo,COG,2011,7.931.117
Cook Islands,COK,2011,95
Costa Rica,CRI,2011,9.740.658
Croatia,HRV,2011,9.912.536
Cyprus,CYP,2011,9.867.843
Czechia,CZE,2011,99
Dominican Republic,DOM,2011,9.010.638
East Asia and the Pacific (WB),0,2011,9.383.104
Ecuador,ECU,2011,915.869
El Salvador,SLV,2011,8.549.399
Estonia,EST,2011,9.988.579
Europe and Central Asia (WB),0,2011,9.788.421
Gibraltar,GIB,2011,80
Honduras,HND,2011,851.233
India,IND,2011,6.930.256
Indonesia,IDN,2011,9.281.191
Italy,ITA,2011,9.884.828
Jordan,JOR,2011,9.590.445
Laos,LAO,2011,5.828.794
Latin America and Caribbean (WB),0,2011,9.215.575
Latvia,LVA,2011,998.959
Liechtenstein,LIE,2011,100
Lithuania,LTU,2011,998.156
Low-income countries,0,2011,5.713.771
Lower-middle-income countries,0,2011,7.101.206
Macao,MAC,2011,9.564.004
Mali,MLI,2011,3.061.867
Malta,MLT,2011,9.330.736
Marshall Islands,MHL,2011,9.826.508
Mauritius,MUS,2011,8.924.984
Mexico,MEX,2011,9.351.998
Middle East and North Africa (WB),0,2011,7.735.669
Montenegro,MNE,2011,9.844.221
Morocco,MAR,2011,6.708.416
Namibia,NAM,2011,8.827.463
Nepal,NPL,2011,5.962.725
Niue,NIU,2011,95
Norway,NOR,2011,100
Pakistan,PAK,2011,5.473.802
Palestine,PSE,2011,9.502.582
Portugal,PRT,2011,9.447.705
Qatar,QAT,2011,9.640.687
Romania,ROU,2011,9.860.429
Samoa,WSM,2011,9.897.326
San Marino,SMR,2011,96
Senegal,SEN,2011,5.181.455
Serbia,SRB,2011,9.796.241
Singapore,SGP,2011,9.618.604
Solomon Islands,SLB,2011,84.1
South Africa,ZAF,2011,9.310.214
South Asia (WB),0,2011,6.650.597
Southern and Eastern Africa (WB),0,2011,6.682.965
Spain,ESP,2011,9.778.375
Sub-Saharan Africa (WB),0,2011,6.078.816
Togo,TGO,2011,6.040.994
Tonga,TON,2011,9.938.553
Tunisia,TUN,2011,7.965.391
Turkey,TUR,2011,9.410.609
Upper-middle-income countries,0,2011,9.438.587
Uruguay,URY,2011,983.359
Vatican,VAT,2011,100
Venezuela,VEN,2011,9.477.022
Western and Central Africa (WB),0,2011,5.176.631
World,OWID_WRL,2011,8.432.265
Zimbabwe,ZWE,2011,8.358.271
Albania,ALB,2012,9.724.697
Arab World (WB),0,2012,7.570.189
Azerbaijan,AZE,2012,9.977.577
Bangladesh,BGD,2012,5.786.075
Benin,BEN,2012,3.294.882
Bhutan,BTN,2012,5.531.756
Bolivia,BOL,2012,9.446.057
Brazil,BRA,2012,9.133.785
Cape Verde,CPV,2012,8.532.779
Comoros,COM,2012,4.919.614
Cote d'Ivoire,CIV,2012,4.098.163
Cuba,CUB,2012,9.967.311
Democratic Republic of Congo,COD,2012,7.501.719
Dominican Republic,DOM,2012,9.015.518
East Asia and the Pacific (WB),0,2012,9.402.285
Ecuador,ECU,2012,9.206.473
Egypt,EGY,2012,7.386.559
Europe and Central Asia (WB),0,2012,9.798.754
Gabon,GAB,2012,822.838
Guatemala,GTM,2012,7.826.486
Honduras,HND,2012,8.535.555
Iran,IRN,2012,8.362.599
Iraq,IRQ,2012,77.2
Jordan,JOR,2012,9.789.032
Kuwait,KWT,2012,9.551.317
Latin America and Caribbean (WB),0,2012,9.239.838
Low-income countries,0,2012,5.759.889
Lower-middle-income countries,0,2012,7.184.989
Madagascar,MDG,2012,7.157.262
Mauritius,MUS,2012,9.176.601
Mexico,MEX,2012,942.284
Middle East and North Africa (WB),0,2012,7.985.406
Morocco,MAR,2012,6.942.539
Niger,NER,2012,3.056.039
North Macedonia,MKD,2012,97.6
Pakistan,PAK,2012,5.676.434
Palestine,PSE,2012,9.567.101
Paraguay,PRY,2012,9.419.747
Peru,PER,2012,9.384.173
Qatar,QAT,2012,9.667.859
Rwanda,RWA,2012,6.833.103
Sao Tome and Principe,STP,2012,901.431
Singapore,SGP,2012,9.636.979
South Africa,ZAF,2012,9.372.947
South Asia (WB),0,2012,6.730.776
Southern and Eastern Africa (WB),0,2012,6.836.135
Spain,ESP,2012,9.789.454
Sub-Saharan Africa (WB),0,2012,6.196.924
Suriname,SUR,2012,9.286.866
Tanzania,TZA,2012,7.810.059
Tunisia,TUN,2012,8.021.875
Turkey,TUR,2012,9.491.975
Uganda,UGA,2012,7.019.822
Ukraine,UKR,2012,9.997.435
Upper-middle-income countries,0,2012,9.483.447
Uruguay,URY,2012,9.839.594
Western and Central Africa (WB),0,2012,5.241.016
World,OWID_WRL,2012,8.476.106
Arab World (WB),0,2013,7.327.648
Azerbaijan,AZE,2013,9.978.936
Bangladesh,BGD,2013,6.101.554
Bosnia and Herzegovina,BIH,2013,9.699.177
Botswana,BWA,2013,8.682.318
Brazil,BRA,2013,9.148.424
Central Europe and the Baltics (WB),0,2013,9.929.847
Chile,CHL,2013,9.626.706
Dominican Republic,DOM,2013,9.085.815
East Asia and the Pacific (WB),0,2013,9.412.432
Ecuador,ECU,2013,9.329.463
Egypt,EGY,2013,724.425
El Salvador,SLV,2013,8.676.758
Europe and Central Asia (WB),0,2013,9.805.367
Gambia,GMB,2013,4.195.005
Guatemala,GTM,2013,7.703.867
Honduras,HND,2013,8.546.442
Iran,IRN,2013,846.268
Kuwait,KWT,2013,9.558.582
Latin America and Caribbean (WB),0,2013,9.244.463
Low-income countries,0,2013,5.855.048
Lower-middle-income countries,0,2013,7.241.251
Mauritania,MRT,2013,6.206.875
Mauritius,MUS,2013,9.149.003
Mexico,MEX,2013,9.396.285
Middle East and North Africa (WB),0,2013,7.786.291
Pakistan,PAK,2013,5.559.499
Palau,PLW,2013,9.950.313
Palestine,PSE,2013,9.604.603
Paraguay,PRY,2013,9.505.904
Philippines,PHL,2013,96.398
Qatar,QAT,2013,9.747.785
Saudi Arabia,SAU,2013,9.442.634
Senegal,SEN,2013,435.345
Sierra Leone,SLE,2013,3.242.617
Singapore,SGP,2013,9.654.802
South Asia (WB),0,2013,6.805.453
Southern and Eastern Africa (WB),0,2013,693.831
Spain,ESP,2013,9.807.913
Sub-Saharan Africa (WB),0,2013,6.283.043
Thailand,THA,2013,9.370.207
Turkey,TUR,2013,9.525.666
Upper-middle-income countries,0,2013,9.460.601
Uruguay,URY,2013,9.836.387
Uzbekistan,UZB,2013,9.999.486
Western and Central Africa (WB),0,2013,5.300.278
World,OWID_WRL,2013,8.486.014
Angola,AGO,2014,6.603.011
Antigua and Barbuda,ATG,2014,98.95
Arab World (WB),0,2014,7.757.787
Argentina,ARG,2014,9.803.402
Azerbaijan,AZE,2014,9.978.899
Bangladesh,BGD,2014,610.933
Bosnia and Herzegovina,BIH,2014,9.837.765
Botswana,BWA,2014,8.770.751
Brazil,BRA,2014,9.172.943
Burkina Faso,BFA,2014,345.994
Burundi,BDI,2014,6.151.349
Cambodia,KHM,2014,7.805.509
Central Europe and the Baltics (WB),0,2014,9.931.573
Chad,TCD,2014,3.904.967
Colombia,COL,2014,9.418.625
Comoros,COM,2014,7.757.327
Cote d'Ivoire,CIV,2014,4.390.842
Dominican Republic,DOM,2014,9.176.376
East Asia and the Pacific (WB),0,2014,9.465.799
Ecuador,ECU,2014,9.422.264
Equatorial Guinea,GNQ,2014,9.495.674
Eritrea,ERI,2014,7.279.049
Europe and Central Asia (WB),0,2014,9.809.614
Gambia,GMB,2014,5.438.756
Georgia,GEO,2014,9.958.619
Greece,GRC,2014,9.753.238
Guatemala,GTM,2014,812.859
Guinea,GIN,2014,3.200.384
Guinea-Bissau,GNB,2014,4.558.116
Guyana,GUY,2014,8.563.973
Honduras,HND,2014,8.719.753
Hungary,HUN,2014,9.905.012
Indonesia,IDN,2014,9.511.622
Iran,IRN,2014,8.470.524
Iraq,IRQ,2014,82.2
Jamaica,JAM,2014,8.813.225
Kenya,KEN,2014,7.873.304
Latin America and Caribbean (WB),0,2014,9.288.939
Lesotho,LSO,2014,766.352
Libya,LBY,2014,9.104.144
Low-income countries,0,2014,5.889.173
Lower-middle-income countries,0,2014,7.323.756
Malawi,MWI,2014,6.514.537
Maldives,MDV,2014,9.861.012
Mauritius,MUS,2014,9.247.476
Mexico,MEX,2014,9.455.588
Middle East and North Africa (WB),0,2014,8.156.906
Moldova,MDA,2014,9.935.989
Morocco,MAR,2014,755.862
Myanmar,MMR,2014,9.292.316
New Caledonia,NCL,2014,9.680.667
North Macedonia,MKD,2014,9.775.175
Oman,OMN,2014,919.812
Pakistan,PAK,2014,5.697.715
Palestine,PSE,2014,9.621.293
Papua New Guinea,PNG,2014,6.309.609
Paraguay,PRY,2014,9.503.481
Peru,PER,2014,9.370.795
Poland,POL,2014,9.977.411
Qatar,QAT,2014,9.774.669
Rwanda,RWA,2014,7.080.413
Sierra Leone,SLE,2014,4.718.624
Singapore,SGP,2014,9.671.669
Slovenia,SVN,2014,9.971.005
South Africa,ZAF,2014,941.399
South Asia (WB),0,2014,6.879.317
Southern and Eastern Africa (WB),0,2014,6.983.477
Spain,ESP,2014,9.809.372
Sub-Saharan Africa (WB),0,2014,6.351.338
Syria,SYR,2014,86.3
Tajikistan,TJK,2014,9.976.841
Trinidad and Tobago,TTO,2014,9.891.949
Tunisia,TUN,2014,7.903.643
Turkey,TUR,2014,9.543.963
Turkmenistan,TKM,2014,9.967.285
Ukraine,UKR,2014,9.975.347
Upper-middle-income countries,0,2014,9.530.264
Uruguay,URY,2014,9.843.593
Uzbekistan,UZB,2014,9.998.055
Vanuatu,VUT,2014,84.7
Western and Central Africa (WB),0,2014,5.400.676
World,OWID_WRL,2014,8.543.371
Yemen,YEM,2014,6.878.942
Zimbabwe,ZWE,2014,8.869.342
Afghanistan,AFG,2015,3.816.804
Albania,ALB,2015,975.539
Algeria,DZA,2015,796.084
Angola,AGO,2015,7.116.416
Arab World (WB),0,2015,7.498.121
Argentina,ARG,2015,9.808.997
Armenia,ARM,2015,9.976.842
Aruba,ABW,2015,975.242
Azerbaijan,AZE,2015,9.978.806
Bahrain,BHR,2015,9.571.726
Bangladesh,BGD,2015,6.513.733
Belarus,BLR,2015,9.972.204
Belize,BLZ,2015,8.277.682
Benin,BEN,2015,3.844.714
Bhutan,BTN,2015,6.390.682
Bolivia,BOL,2015,9.245.508
Bosnia and Herzegovina,BIH,2015,9.848.576
Botswana,BWA,2015,8.822.441
Brazil,BRA,2015,920.479
Brunei,BRN,2015,9.665.653
Bulgaria,BGR,2015,9.838.858
Burkina Faso,BFA,2015,377.467
Burundi,BDI,2015,8.549.609
Cambodia,KHM,2015,8.052.649
Cameroon,CMR,2015,7.498.558
Cape Verde,CPV,2015,8.679.029
Central African Republic,CAF,2015,3.675.261
Central Europe and the Baltics (WB),0,2015,9.933.277
Chad,TCD,2015,2.600.299
Chile,CHL,2015,9.687.413
China,CHN,2015,9.635.745
Colombia,COL,2015,9.424.505
Comoros,COM,2015,7.813.739
Congo,COG,2015,7.931.117
Costa Rica,CRI,2015,9.764.725
Cote d'Ivoire,CIV,2015,4.326.532
Croatia,HRV,2015,9.927.259
Cuba,CUB,2015,9.971.072
Cyprus,CYP,2015,9.905.978
Democratic Republic of Congo,COD,2015,7.722.167
Dominican Republic,DOM,2015,9.199.121
East Asia and the Pacific (WB),0,2015,948.695
East Timor,TLS,2015,6.406.614
Ecuador,ECU,2015,9.445.566
Egypt,EGY,2015,7.584.262
El Salvador,SLV,2015,8.796.985
Equatorial Guinea,GNQ,2015,9.519.566
Eritrea,ERI,2015,7.384.525
Estonia,EST,2015,9.982.351
Eswatini,SWZ,2015,8.747.019
Ethiopia,ETH,2015,4.903.152
Europe and Central Asia (WB),0,2015,9.813.865
Gabon,GAB,2015,8.323.788
Gambia,GMB,2015,5.077.797
Georgia,GEO,2015,9.975.962
Ghana,GHA,2015,765.759
Greece,GRC,2015,9.529.287
Guam,GUM,2015,9.978.904
Guatemala,GTM,2015,7.907.421
Guinea,GIN,2015,3.047.279
Guinea-Bissau,GNB,2015,5.977.285
Guyana,GUY,2015,8.753.532
Haiti,HTI,2015,6.068.935
Honduras,HND,2015,8.790.683
Hungary,HUN,2015,9.938.088
India,IND,2015,722.253
Indonesia,IDN,2015,9.521.793
Iran,IRN,2015,8.717.253
Iraq,IRQ,2015,7.972.176
Italy,ITA,2015,9.901.579
Jamaica,JAM,2015,884.999
Jordan,JOR,2015,9.801.435
Kazakhstan,KAZ,2015,9.978.785
Kenya,KEN,2015,780.234
Kuwait,KWT,2015,9.568.545
Kyrgyzstan,KGZ,2015,9.950.132
Laos,LAO,2015,8.466.104
Latin America and Caribbean (WB),0,2015,9.305.001
Latvia,LVA,2015,9.989.269
Lebanon,LBN,2015,940.511
Lesotho,LSO,2015,7.936.093
Liberia,LBR,2015,4.760.014
Libya,LBY,2015,9.138.887
Lithuania,LTU,2015,9.982.328
Low-income countries,0,2015,5.936.031
Lower-middle-income countries,0,2015,7.402.703
Macao,MAC,2015,962.276
Madagascar,MDG,2015,646.563
Malawi,MWI,2015,6.214.354
Malaysia,MYS,2015,9.463.699
Maldives,MDV,2015,9.932.102
Mali,MLI,2015,3.306.889
Malta,MLT,2015,9.406.661
Marshall Islands,MHL,2015,9.826.508
Mauritania,MRT,2015,5.212.356
Mauritius,MUS,2015,927.076
Mexico,MEX,2015,9.447.228
Middle East and North Africa (WB),0,2015,7.955.848
Moldova,MDA,2015,9.924.439
Mongolia,MNG,2015,9.836.764
Montenegro,MNE,2015,9.871.995
Morocco,MAR,2015,7.171.055
Mozambique,MOZ,2015,56.039
Myanmar,MMR,2015,9.309.005
Namibia,NAM,2015,908.205
Nepal,NPL,2015,6.466.364
New Caledonia,NCL,2015,9.693.782
Nicaragua,NIC,2015,8.261.455
Niger,NER,2015,191.026
Nigeria,NGA,2015,5.956.808
North Korea,PRK,2015,9.999.924
North Macedonia,MKD,2015,9.784.376
Oman,OMN,2015,9.303.861
Pakistan,PAK,2015,5.644.031
Palau,PLW,2015,9.659.374
Palestine,PSE,2015,9.647.712
Panama,PAN,2015,9.503.823
Papua New Guinea,PNG,2015,6.343.349
Paraguay,PRY,2015,9.555.484
Peru,PER,2015,9.416.234
Philippines,PHL,2015,9.818.255
Poland,POL,2015,9.978.742
Portugal,PRT,2015,9.542.811
Puerto Rico,PRI,2015,9.332.942
Qatar,QAT,2015,9.775.709
Romania,ROU,2015,9.875.703
Russia,RUS,2015,9.971.957
Rwanda,RWA,2015,712.435
Samoa,WSM,2015,9.901.501
Sao Tome and Principe,STP,2015,9.174.711
Saudi Arabia,SAU,2015,9.484.237
Senegal,SEN,2015,5.562.485
Serbia,SRB,2015,9.800.289
Seychelles,SYC,2015,9.532.108
Sierra Leone,SLE,2015,484.319
Singapore,SGP,2015,9.682.549
Slovenia,SVN,2015,9.971.476
South Africa,ZAF,2015,9.436.792
South Asia (WB),0,2015,6.975.716
South Sudan,SSD,2015,3.197.625
Southern and Eastern Africa (WB),0,2015,7.031.342
Spain,ESP,2015,9.814.326
Sri Lanka,LKA,2015,9.261.417
Sub-Saharan Africa (WB),0,2015,6.413.228
Sudan,SDN,2015,5.860.132
Suriname,SUR,2015,9.553.899
Syria,SYR,2015,8.630.393
Tajikistan,TJK,2015,9.978.105
Tanzania,TZA,2015,7.788.723
Thailand,THA,2015,9.286.831
Togo,TGO,2015,6.374.562
Tonga,TON,2015,9.939.786
Trinidad and Tobago,TTO,2015,9.896.958
Tunisia,TUN,2015,8.105.419
Turkey,TUR,2015,9.560.142
Turkmenistan,TKM,2015,9.969.293
Uganda,UGA,2015,7.380.984
Ukraine,UKR,2015,9.976.411
United Arab Emirates,ARE,2015,9.298.637
Upper-middle-income countries,0,2015,9.507.114
Uruguay,URY,2015,9.852.387
Uzbekistan,UZB,2015,9.998.383
Vanuatu,VUT,2015,8.505.868
Venezuela,VEN,2015,9.660.522
Vietnam,VNM,2015,9.451.427
Western and Central Africa (WB),0,2015,5.481.832
World,OWID_WRL,2015,8.560.183
Yemen,YEM,2015,6.996.195
Zambia,ZMB,2015,8.511.726
Zimbabwe,ZWE,2015,8.687.348
Arab World (WB),0,2016,7.638.673
Armenia,ARM,2016,9.974.441
Azerbaijan,AZE,2016,9.979.006
Bangladesh,BGD,2016,7.275.872
Brazil,BRA,2016,9.280.844
Central Europe and the Baltics (WB),0,2016,993.535
Chad,TCD,2016,2.231.155
Colombia,COL,2016,9.465.385
Democratic Republic of Congo,COD,2016,7.704.268
Dominican Republic,DOM,2016,9.377.846
East Asia and the Pacific (WB),0,2016,9.503.397
Ecuador,ECU,2016,9.435.023
El Salvador,SLV,2016,8.814.177
Europe and Central Asia (WB),0,2016,9.823.154
Haiti,HTI,2016,6.169.135
Honduras,HND,2016,8.898.748
Indonesia,IDN,2016,9.537.697
Iran,IRN,2016,8.554.425
Iraq,IRQ,2016,83.3
Latin America and Caribbean (WB),0,2016,9.352.842
Low-income countries,0,2016,6.010.976
Lower-middle-income countries,0,2016,7.470.815
Macao,MAC,2016,9.653.849
Maldives,MDV,2016,9.773.495
Mauritius,MUS,2016,9.315.784
Mexico,MEX,2016,9.485.962
Middle East and North Africa (WB),0,2016,8.059.259
Myanmar,MMR,2016,755.512
Palestine,PSE,2016,9.671.919
Paraguay,PRY,2016,9.465.024
Peru,PER,2016,9.417.367
Serbia,SRB,2016,9.884.151
Singapore,SGP,2016,9.704.956
South Asia (WB),0,2016,7.110.493
Southern and Eastern Africa (WB),0,2016,710.952
Spain,ESP,2016,9.825.051
Sri Lanka,LKA,2016,923.869
Sub-Saharan Africa (WB),0,2016,648.614
Turkey,TUR,2016,9.616.733
Upper-middle-income countries,0,2016,9.564.911
Uruguay,URY,2016,9.856.147
Uzbekistan,UZB,2016,9.998.657
Venezuela,VEN,2016,9.712.709
Western and Central Africa (WB),0,2016,5.543.792
World,OWID_WRL,2016,8.606.116
Arab World (WB),0,2017,771.703
Armenia,ARM,2017,9.973.607
Azerbaijan,AZE,2017,9.979.123
Bangladesh,BGD,2017,7.289.297
Bhutan,BTN,2017,6.656.115
Brazil,BRA,2017,9.307.582
Burundi,BDI,2017,6.837.533
Cayman Islands,CYM,2017,9.886.782
Central Europe and the Baltics (WB),0,2017,9.937.043
Chile,CHL,2017,9.640.228
East Asia and the Pacific (WB),0,2017,9.520.588
Ecuador,ECU,2017,9.282.979
Egypt,EGY,2017,7.116.825
El Salvador,SLV,2017,8.848.271
Ethiopia,ETH,2017,5.177.118
Europe and Central Asia (WB),0,2017,9.827.937
Georgia,GEO,2017,9.936.426
Iraq,IRQ,2017,85.6
Kuwait,KWT,2017,9.603.595
Latin America and Caribbean (WB),0,2017,9.359.473
Liberia,LBR,2017,4.830.136
Low-income countries,0,2017,6.112.589
Lower-middle-income countries,0,2017,7.537.246
Mexico,MEX,2017,9.497.278
Middle East and North Africa (WB),0,2017,8.151.193
Mozambique,MOZ,2017,6.065.543
North America (WB),0,2017,987.193
Oman,OMN,2017,95.576
Pakistan,PAK,2017,5.913.205
Palestine,PSE,2017,969.244
Peru,PER,2017,9.414.961
Puerto Rico,PRI,2017,92.39
Saudi Arabia,SAU,2017,9.532.863
Senegal,SEN,2017,5.190.042
Singapore,SGP,2017,9.720.222
South Africa,ZAF,2017,8.704.667
South Asia (WB),0,2017,7.179.036
Southern and Eastern Africa (WB),0,2017,7.100.907
Sri Lanka,LKA,2017,9.189.575
Sub-Saharan Africa (WB),0,2017,6.522.324
Turkey,TUR,2017,9.615.053
Upper-middle-income countries,0,2017,956.296
Uruguay,URY,2017,9.861.572
Western and Central Africa (WB),0,2017,5.648.554
World,OWID_WRL,2017,8.628.823
Algeria,DZA,2018,8.140.784
Arab World (WB),0,2018,7.428.613
Bangladesh,BGD,2018,739.122
Brazil,BRA,2018,932.275
Brunei,BRN,2018,9.721.411
Burkina Faso,BFA,2018,3.934.585
Cameroon,CMR,2018,7.707.104
Central African Republic,CAF,2018,3.739.582
Central Europe and the Baltics (WB),0,2018,9.938.724
Colombia,COL,2018,9.509.251
East Asia and the Pacific (WB),0,2018,9.530.794
El Salvador,SLV,2018,890.086
Eritrea,ERI,2018,7.657.052
Europe and Central Asia (WB),0,2018,9.839.641
Guatemala,GTM,2018,8.081.068
Guinea,GIN,2018,3.961.768
Honduras,HND,2018,8.720.524
Indonesia,IDN,2018,9.565.856
Kuwait,KWT,2018,9.605.647
Latin America and Caribbean (WB),0,2018,9.372.667
Low-income countries,0,2018,6.092.019
Lower-middle-income countries,0,2018,7.594.947
Madagascar,MDG,2018,7.667.968
Mali,MLI,2018,3.547.377
Mexico,MEX,2018,9.537.991
Middle East and North Africa (WB),0,2018,7.900.979
Nigeria,NGA,2018,6.201.601
North America (WB),0,2018,9.872.725
North Korea,PRK,2018,9.999.819
Oman,OMN,2018,9.565.153
Pakistan,PAK,2018,5.701.057
Palestine,PSE,2018,9.721.861
Panama,PAN,2018,9.541.181
Paraguay,PRY,2018,940.208
Peru,PER,2018,9.440.827
Rwanda,RWA,2018,7.321.559
Singapore,SGP,2018,9.734.486
South Asia (WB),0,2018,7.208.151
South Korea,KOR,2018,98.8
South Sudan,SSD,2018,3.452.276
Southern and Eastern Africa (WB),0,2018,7.139.262
Spain,ESP,2018,984.365
Sri Lanka,LKA,2018,9.170.982
Sub-Saharan Africa (WB),0,2018,6.668.364
Sudan,SDN,2018,6.069.718
Thailand,THA,2018,9.376.776
Uganda,UGA,2018,765.275
Upper-middle-income countries,0,2018,9.542.072
Uruguay,URY,2018,9.870.386
Uzbekistan,UZB,2018,9.999.289
Western and Central Africa (WB),0,2018,5.956.846
World,OWID_WRL,2018,8.633.905
Arab World (WB),0,2019,7.460.366
Azerbaijan,AZE,2019,9.979.598
Bangladesh,BGD,2019,7.468.446
Belarus,BLR,2019,99.874
Burkina Faso,BFA,2019,2.966.328
Central Europe and the Baltics (WB),0,2019,9.940.212
Colombia,COL,2019,9.524.927
Cote d'Ivoire,CIV,2019,8.989.342
East Asia and the Pacific (WB),0,2019,9.570.822
El Salvador,SLV,2019,8.913.792
Europe and Central Asia (WB),0,2019,9.843.328
Honduras,HND,2019,8.850.743
Italy,ITA,2019,993.491
Kyrgyzstan,KGZ,2019,99.6
Latin America and Caribbean (WB),0,2019,9.417.398
Lebanon,LBN,2019,95.3
Low-income countries,0,2019,6.111.123
Lower-middle-income countries,0,2019,7.615.857
Middle East and North Africa (WB),0,2019,79.341
Myanmar,MMR,2019,8.906.995
North America (WB),0,2019,9.873.326
Pakistan,PAK,2019,5.799.886
Palestine,PSE,2019,9.737.826
Panama,PAN,2019,9.573.608
Paraguay,PRY,2019,9.321.353
Philippines,PHL,2019,9.627.817
Serbia,SRB,2019,9.948.253
Singapore,SGP,2019,9.747.958
South Africa,ZAF,2019,9.502.297
South Asia (WB),0,2019,7.194.279
Southern and Eastern Africa (WB),0,2019,7.263.497
Sri Lanka,LKA,2019,9.225.296
Sub-Saharan Africa (WB),0,2019,6.741.086
Togo,TGO,2019,6.653.708
Turkey,TUR,2019,9.674.221
United Arab Emirates,ARE,2019,9.778.251
Upper-middle-income countries,0,2019,9.573.506
Uruguay,URY,2019,9.877.035
Uzbekistan,UZB,2019,9.999.995
Vietnam,VNM,2019,9.575.387
Western and Central Africa (WB),0,2019,5.951.172
World,OWID_WRL,2019,864.896
Arab World (WB),0,2020,7.502.288
Armenia,ARM,2020,9.978.861
Aruba,ABW,2020,97.99
Bangladesh,BGD,2020,749.089
Bolivia,BOL,2020,9.385.256
Cameroon,CMR,2020,78.23
Central African Republic,CAF,2020,37.49
Central Europe and the Baltics (WB),0,2020,9.941.718
China,CHN,2020,97.15
Colombia,COL,2020,9.563.633
East Asia and the Pacific (WB),0,2020,9.600.155
East Timor,TLS,2020,69.9
Ecuador,ECU,2020,936.261
El Salvador,SLV,2020,8.998.453
Eswatini,SWZ,2020,89.28
Europe and Central Asia (WB),0,2020,9.850.483
Ghana,GHA,2020,80.38
Indonesia,IDN,2020,9.599.901
Kazakhstan,KAZ,2020,99.8
Kuwait,KWT,2020,9.645.754
Latin America and Caribbean (WB),0,2020,9.419.925
Low-income countries,0,2020,6.118.985
Lower-middle-income countries,0,2020,7.669.681
Mali,MLI,2020,3.076.141
Mexico,MEX,2020,9.524.785
Middle East and North Africa (WB),0,2020,7.976.233
Mongolia,MNG,2020,9.918.327
Mozambique,MOZ,2020,5.977.961
North America (WB),0,2020,9.874.023
Paraguay,PRY,2020,9.454.455
Peru,PER,2020,9.449.793
Saudi Arabia,SAU,2020,9.758.507
Seychelles,SYC,2020,96.2
Singapore,SGP,2020,9.713.185
South Asia (WB),0,2020,7.265.861
Southern and Eastern Africa (WB),0,2020,7.278.562
Spain,ESP,2020,9.859.446
Sri Lanka,LKA,2020,923.823
Sub-Saharan Africa (WB),0,2020,6.754.763
Upper-middle-income countries,0,2020,9.595.692
Western and Central Africa (WB),0,2020,5.961.751
World,OWID_WRL,2020,8.671.151
Zambia,ZMB,2020,87.5
Afghanistan,AFG,2021,3.726.604
Arab World (WB),0,2021,7.523.118
Brunei,BRN,2021,97.59
Bulgaria,BGR,2021,98.42
Central Europe and the Baltics (WB),0,2021,9.942.526
Congo,COG,2021,80.61
Costa Rica,CRI,2021,98.04
Croatia,HRV,2021,99.45
Cuba,CUB,2021,9.967.311
Cyprus,CYP,2021,99.36
East Asia and the Pacific (WB),0,2021,9.603.774
Ecuador,ECU,2021,9.448.359
Estonia,EST,2021,99.87
Europe and Central Asia (WB),0,2021,9.852.377
Guinea,GIN,2021,45.33
Hungary,HUN,2021,99.1
Jordan,JOR,2021,98.42
Latin America and Caribbean (WB),0,2021,9.445.465
Latvia,LVA,2021,99.89
Lithuania,LTU,2021,99.83
Low-income countries,0,2021,6.166.338
Lower-middle-income countries,0,2021,7.725.923
Macao,MAC,2021,97.11
Maldives,MDV,2021,97.86
Malta,MLT,2021,94.94
Mauritania,MRT,2021,66.96
Mauritius,MUS,2021,92.15
Middle East and North Africa (WB),0,2021,8.001.225
Moldova,MDA,2021,99.6
Montenegro,MNE,2021,98.98
Namibia,NAM,2021,92.25
Nepal,NPL,2021,71.15
North America (WB),0,2021,9.873.995
